iter	Passed	Remaining
0	1	184
1	3	162
2	5	162
3	6	157
4	8	155
5	10	157
6	11	150
7	12	145
8	13	141
9	15	140
10	16	135
11	18	134
12	20	133
13	21	132
14	23	133
15	25	132
16	26	130
17	28	128
18	30	131
19	32	129
20	34	128
21	35	127
22	37	126
23	39	124
24	41	123
25	42	121
26	44	119
27	45	117
28	47	116
29	49	114
30	50	112
31	52	112
32	55	111
33	56	110
34	58	108
35	60	106
36	62	105
37	63	104
38	65	102
39	67	100
40	68	98
41	69	95
42	70	93
43	73	92
44	74	91
45	76	90
46	78	88
47	80	87
48	82	85
49	83	83
50	84	81
51	86	79
52	87	77
53	89	75
54	90	73
55	91	71
56	93	70
57	94	68
58	96	67
59	98	65
60	99	63
61	101	62
62	102	60
63	104	58
64	106	57
65	108	55
66	110	54
67	111	52
68	112	50
69	114	49
70	116	47
71	117	45
72	119	44
73	121	42
74	122	40
75	124	39
76	137	40
77	138	39
78	139	37
79	141	35
80	142	33
81	144	31
82	145	29
83	146	27
84	147	26
85	149	24
86	150	22
87	152	20
88	153	19
89	155	17
90	156	15
91	158	13
92	159	12
93	161	10
94	162	8
95	163	6
96	167	5
97	169	3
98	171	1
99	172	0
